USER,PID,%CPU,%MEM,VSZ,RSS,TTY,STAT,START,TIME,COMMAND
5019,5.5,4.4,12514368,696736,?,Sl,01:42,38:44,/snap/firefox/4793/usr/lib/firefox/firefox,
17523,6.5,3.6,1191221172,576180,?,Sl,12:53,1:24,/usr/share/code/code,--type=utility
3033,0.0,2.7,2430612,425040,?,Sl,01:42,0:38,/usr/bin/gnome-software,--gapplication-service
1989,0.1,2.5,2375820,396280,?,Ssl,01:42,0:45,/usr/sbin/mysqld,
2772,0.5,2.2,5006872,347376,?,Ssl,01:42,3:51,/usr/bin/gnome-shell,
18503,6.0,1.7,2707072,270380,?,Sl,12:55,1:10,/snap/firefox/4793/usr/lib/firefox/firefox,-contentproc
17484,8.1,1.5,1189452876,237104,?,Sl,12:53,1:45,/usr/share/code/code,--type=renderer
13842,0.1,1.5,2884184,240660,?,Sl,02:51,0:44,/snap/firefox/4793/usr/lib/firefox/firefox,-contentproc
5350,0.1,1.5,19782772,241764,?,Sl,01:42,1:14,/snap/firefox/4793/usr/lib/firefox/firefox,-contentproc
17382,1.4,1.4,1187162412,231460,?,SLsl,12:53,0:19,/usr/share/code/code,./
18528,0.9,1.1,2541100,172784,?,Sl,12:55,0:10,/snap/firefox/4793/usr/lib/firefox/firefox,-contentproc
17420,3.8,1.1,34537972,177600,?,Sl,12:53,0:49,/usr/share/code/code,--type=gpu-process
2095,0.5,0.9,1202080,151172,tty7,Ssl+,01:42,3:53,/usr/lib/xorg/Xorg,-core
5230,0.0,0.9,2494204,141328,?,Sl,01:42,0:04,/snap/firefox/4793/usr/lib/firefox/firefox,-contentproc
17539,1.2,0.8,1186885604,128648,?,Sl,12:53,0:15,/usr/share/code/code,--type=utility
4799,0.0,0.7,1874512,119048,?,Sl,01:42,0:00,/usr/bin/gnome-calendar,--gapplication-service
2801,0.0,0.7,1551996,113544,?,Sl,01:42,0:02,/usr/libexec/mutter-x11-frames,
17719,3.6,0.7,1186848600,112588,?,Sl,12:53,0:46,/usr/share/code/code,/home/x1b3d3ad/.vscode/extensions/streetsidesoftware.code-spell-checker-3.0.1/packages/_server/dist/main.cjs
17580,0.3,0.6,1186894416,96808,?,Sl,12:53,0:04,/usr/share/code/code,--type=utility
3157,0.0,0.6,877988,101640,?,Sl,01:42,0:02,/snap/snap-store/1113/usr/bin/snap-store,--gapplication-service
3343,0.0,0.6,1742304,98992,?,Ssl,01:42,0:00,/usr/libexec/xdg-desktop-portal-gnome,
17540,0.0,0.5,1186902548,91292,?,Sl,12:53,0:01,/usr/share/code/code,--type=utility
